timestamp,temperature,humidity,light_received
1830288,24.1,48,0
1831164,24.5,46,0
1831652,22.7,48,1023
1832973,21.0,43,2538
1843148,24.1,48,0
1843639,23.0,49,1023
1844244,21.0,42,2494
1844418,24.5,46,0
1855508,21.0,42,2559
1855631,23.0,49,1023
1855734,24.1,48,0
1857220,24.5,46,0
1866767,21.0,42,2480
1867636,23.0,49,1023
1868411,24.1,48,0
1872030,24.5,46,0
1878077,21.0,42,3313
1879635,23.0,49,1023
1881212,24.1,47,0
1885034,24.5,46,0
1889334,21.0,42,2967
1891712,23.0,49,1023
1893804,24.1,47,0
1898073,24.5,46,0
1900608,21.0,42,2020
1903731,23.0,49,1023
1907063,24.1,47,0
1911361,24.5,46,0
1911900,21.0,42,1868
1915732,23.0,49,1023
1920347,24.1,47,0
1923130,21.0,42,1481
1924973,24.5,46,0
1927733,23.0,49,1023
1932917,24.1,47,0
1935030,21.0,42,1340
1937981,24.5,46,0
1939716,23.0,48,1023
1946004,24.1,47,0
1946272,21.0,42,1009
1950926,24.5,46,0
1951706,23.0,48,1023
1957502,21.0,42,784
1959067,24.1,47,0
1964118,24.5,46,0
1968763,21.0,42,814
1971597,24.1,47,0
1977590,24.5,46,0
1980041,21.0,42,701
1984388,24.1,47,0
1990845,24.5,46,0
1996973,24.1,47,0
2004345,24.5,46,0
2009626,24.1,47,0
2022734,24.1,47,0
2035536,24.1,47,0
2048108,24.1,47,0
2060964,24.1,48,0
2073498,24.1,48,0
2086735,24.1,48,0
2099434,24.1,47,0
2112397,24.1,47,0
2125136,24.1,47,0
2138061,24.1,47,0
2150619,24.1,47,0
2163417,24.1,47,0
2176463,24.1,47,0
2189038,24.1,47,0
2202079,24.1,47,0
2214560,24.1,47,0
2227257,24.1,47,0
2240409,24.1,47,0
2253251,24.1,48,0
2266443,24.1,48,0
2279334,24.1,47,0
2294048,24.1,47,0
2306863,24.1,47,0
2319519,24.1,47,0
2332538,24.1,47,0
2345780,24.1,47,0
2358646,24.1,47,0
2371476,24.1,47,0
2384355,24.1,47,0
2397436,24.1,47,0
2410014,24.1,47,0
2423646,24.1,47,0
2436624,24.1,47,0
2449347,24.1,47,0
2461927,24.1,47,0
2474677,24.1,47,0
2487608,24.1,47,0
2500893,24.1,47,0
2513440,24.1,47,0
2526673,24.1,47,0
2539576,24.1,47,0
2552438,24.1,47,0
2565095,24.1,47,0
2578027,24.1,47,0
2590898,24.1,47,0
2604030,24.1,47,0
2616670,24.1,47,0
2630369,24.1,47,0
2642831,24.1,47,0
2655598,24.1,47,0
2668572,24.1,47,0
2681241,24.1,47,0
2693869,24.1,47,0
2706641,24.1,48,0
2719340,24.1,48,0
2732285,24.1,48,0
2744929,24.1,48,0
2757844,24.1,47,0
2770390,24.1,47,0
2783104,24.1,47,0
2795824,24.1,47,0
2808875,24.1,48,0
2821656,24.1,48,0
2834821,24.1,48,0
2847837,24.1,48,0
2860768,24.1,48,0
2874368,24.1,49,1023
2887844,24.1,49,0
2900390,24.1,48,0
2913466,24.1,48,0
2926807,24.1,48,0
2939442,24.1,48,0
2952632,24.1,48,0
2965908,24.1,48,0
2979122,24.1,48,0
2992017,24.1,48,0
3005202,24.1,48,0
3017966,24.1,48,0
3030670,24.1,48,0
3043902,24.1,48,0
3056839,24.1,48,0
